kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
npb_cg_kernel_two,7051.6349871405,950.7091346116828
ub_1_2d_store,1335.0644477075,324.94983788746583
npb_cg_kernel_nine,7568.542744397,1138.8553194354456
npb_ft_evolve_kernel,4760.9801463250005,8591.397336964455
npb_sp_error_norm_gpu_kernel_2,831.789490517,1.732798365209998
npb_is_full_verify_kernel_3,1401.22776795,3847.269040095533
npb_bt_compute_rhs_7,7287.8013946305,1737.345220856574
npb_cg_kernel_ten_1,6954.940892709499,989.4012751337635
npb_is_full_verify_kernel_1,1254.6922481015,2149.3608229539045
sb_fp64_pure,847.2393338134998,90.72698687301386
npb_sp_initialize_gpu_kernel,1012.8511307915,72.26545506426389
npb_sp_rhs_norm_gpu_kernel_1,874.880433734,99.88071457414013
npb_ft_cffts3_kernel_3,3292.9951914325,5307.025312197536
npb_mg_zero3_gpu_kernel,1728.2898803300004,3504.5982439000177
npb_is_full_verify_kernel_2,1045.066232439,84.27442594445223
npb_is_rank_kernel_5,794.2829702910001,2.578929184305926
ub_2_2d_store_single,1331.1363295734998,324.94983788746583
npb_lu_erhs_4,898.9322314150002,48.93579943343317
npb_lu_setiv_gpu_kernel,941.4080710595001,36.633828939162896
sgemm_2_kernel_global_mem_coalesce,1732.5639502615,15.343464039534789
npb_sp_add_gpu_kernel,908.2006988815001,168.05325008966722
npb_bt_compute_rhs_8,1034.4176677755,2025.5582665966124
npb_bt_y_solve_3,804.4117795690001,68.6556335152109
npb_sp_exact_rhs_gpu_kernel_1,844.028201585,128.42615680950027
npb_sp_compute_rhs_gpu_kernel_1,861.3686037200001,131.07084512994888
npb_bt_y_solve_1,1529.469124056,1892.8185400515238
npb_bt_compute_rhs_1,1718.8376912465,518.841235127489
npb_mg_resid_gpu_kernel,1416.6864136859997,2692.8303532846962
sb_gmem_strided,5109.904551297,3787.90853023126
npb_ft_compute_indexmap_kernel,8233.9853488155,14786.229540429049
sb_divergence_50pct,852.5708418775,63.54005941368247
sgemm_8_kernel_bank_extra_col,1196.0771637425,0.5503071534009897
npb_lu_erhs_2,989.8562381724998,50.51588885274107
ub_7_scalar_store_arith,1625.298539453,1477.8684311209697
npb_is_create_seq_kernel,901.0008891615,2.9992166927049833
npb_is_rank_kernel_7,868.7832968880001,0.2687922636746413
sgemm_11_kernel_double_buffering,1107.0955818795,0.1955867004561302
npb_lu_rhs_4,944.1214249675,49.32607847755679
npb_mg_comm3_kernel_1,997.0179828799999,106.13160668669292
npb_ft_cffts3_kernel_2,1299.601479386,7.713900076526827
