kernel_name, instruction, count, total_instructions, power_consumption_joules
mov_u32, mov.u32, 160000000, 160000000, 83.93
mul_lo_s32, mul.lo.s32, 160000000, 160000000, 83.79
add_s32, add.s32, 160000000, 160000000, 83.91
add_s64, add.s64, 160000000, 160000000, 244.71
cvt_s64.s32, cvt.s64.s32, 160000000, 160000000, 369.73
shl_b64, shl.b64, 160000000, 40000000, 242.94
ld_f32, ld.f32, 160000000, 160000000, 188.69
st_f32, st.f32, 160000000, 160000000, 183.85
